bundle_version,source_scope,source_file,row_kind,row_order,payload_json
2026-08-15.lossless-project-input-bundle.v1,data/evm.csv,01-data/import_templates/evm.csv,schema,0,"{""headers"":[""project_id"",""activity_id"",""activity_name"",""period"",""BAC"",""AC"",""EV"",""PV"",""CPI"",""SPI"",""CV"",""SV""],""source_sha256"":""86f9b2d9a09bee8805c032eec90e55fd55b4c4b009f16e975e34d47e27aa91f7""}"
2026-08-15.lossless-project-input-bundle.v1,data/evm.csv,01-data/import_templates/evm.csv,data,1,"[""Nasr city-Tunnel"",""NCT-MS-1000"",""Notice to Proceed"",""May-26"",""4500000.00"",""4635000.00"",""4500000.00"",""4500000.00"",""0.97"",""1.00"",""-135000.00"",""0.00""]"
2026-08-15.lossless-project-input-bundle.v1,data/evm.csv,01-data/import_templates/evm.csv,data,2,"[""Nasr city-Tunnel"",""NCT-MS-1010"",""Site Handover"",""May-26"",""5625000.00"",""5934375.00"",""5625000.00"",""5625000.00"",""0.95"",""1.00"",""-309375.00"",""0.00""]"
2026-08-15.lossless-project-input-bundle.v1,data/evm.csv,01-data/import_templates/evm.csv,data,3,"[""Nasr city-Tunnel"",""NCT-ENG-1020"",""Issue IFC Architectural Drawings"",""May-26"",""6750000.00"",""7290000.00"",""6750000.00"",""6750000.00"",""0.93"",""1.00"",""-540000.00"",""0.00""]"
2026-08-15.lossless-project-input-bundle.v1,data/evm.csv,01-data/import_templates/evm.csv,data,4,"[""Nasr city-Tunnel"",""NCT-ENG-1030"",""Approve Structural Shop Drawings"",""May-26"",""7125000.00"",""7338750.00"",""7125000.00"",""7125000.00"",""0.97"",""1.00"",""-213750.00"",""0.00""]"
2026-08-15.lossless-project-input-bundle.v1,data/evm.csv,01-data/import_templates/evm.csv,data,5,"[""Nasr city-Tunnel"",""NCT-PRC-1040"",""Procure Reinforcement Steel"",""May-26"",""8250000.00"",""8703750.00"",""8250000.00"",""8250000.00"",""0.95"",""1.00"",""-453750.00"",""0.00""]"
2026-08-15.lossless-project-input-bundle.v1,data/evm.csv,01-data/import_templates/evm.csv,data,6,"[""Nasr city-Tunnel"",""NCT-PRC-1050"",""Deliver Formwork Materials"",""May-26"",""9375000.00"",""10125000.00"",""9375000.00"",""9375000.00"",""0.93"",""1.00"",""-750000.00"",""0.00""]"
2026-08-15.lossless-project-input-bundle.v1,data/evm.csv,01-data/import_templates/evm.csv,data,7,"[""Nasr city-Tunnel"",""NCT-A-EXC-1060"",""Building A Excavation"",""May-26"",""9750000.00"",""10042500.00"",""9750000.00"",""9750000.00"",""0.97"",""1.00"",""-292500.00"",""0.00""]"
2026-08-15.lossless-project-input-bundle.v1,data/evm.csv,01-data/import_templates/evm.csv,data,8,"[""Nasr city-Tunnel"",""NCT-A-PC-1070"",""Building A Plain Concrete"",""May-26"",""10875000.00"",""11473125.00"",""10875000.00"",""10875000.00"",""0.95"",""1.00"",""-598125.00"",""0.00""]"
2026-08-15.lossless-project-input-bundle.v1,data/evm.csv,01-data/import_templates/evm.csv,data,9,"[""Nasr city-Tunnel"",""NCT-A-RFT-1080"",""Building A Raft Reinforcement"",""May-26"",""12000000.00"",""12960000.00"",""12000000.00"",""12000000.00"",""0.93"",""1.00"",""-960000.00"",""0.00""]"
2026-08-15.lossless-project-input-bundle.v1,data/evm.csv,01-data/import_templates/evm.csv,data,10,"[""Nasr city-Tunnel"",""NCT-A-CON-1090"",""Building A Raft Concrete"",""May-26"",""12375000.00"",""12746250.00"",""12375000.00"",""12375000.00"",""0.97"",""1.00"",""-371250.00"",""0.00""]"
2026-08-15.lossless-project-input-bundle.v1,data/evm.csv,01-data/import_templates/evm.csv,data,11,"[""Nasr city-Tunnel"",""NCT-B-EXC-1100"",""Building B Excavation"",""May-26"",""13500000.00"",""14242500.00"",""13500000.00"",""13500000.00"",""0.95"",""1.00"",""-742500.00"",""0.00""]"
2026-08-15.lossless-project-input-bundle.v1,data/evm.csv,01-data/import_templates/evm.csv,data,12,"[""Nasr city-Tunnel"",""NCT-B-PC-1110"",""Building B Plain Concrete"",""May-26"",""14625000.00"",""15795000.00"",""14625000.00"",""14625000.00"",""0.93"",""1.00"",""-1170000.00"",""0.00""]"
2026-08-15.lossless-project-input-bundle.v1,data/evm.csv,01-data/import_templates/evm.csv,data,13,"[""Nasr city-Tunnel"",""NCT-B-RFT-1120"",""Building B Raft Reinforcement"",""May-26"",""15000000.00"",""15450000.00"",""15000000.00"",""15000000.00"",""0.97"",""1.00"",""-450000.00"",""0.00""]"
2026-08-15.lossless-project-input-bundle.v1,data/evm.csv,01-data/import_templates/evm.csv,data,14,"[""Nasr city-Tunnel"",""NCT-B-CON-1130"",""Building B Raft Concrete"",""May-26"",""16125000.00"",""17011875.00"",""16125000.00"",""16125000.00"",""0.95"",""1.00"",""-886875.00"",""0.00""]"
2026-08-15.lossless-project-input-bundle.v1,data/evm.csv,01-data/import_templates/evm.csv,data,15,"[""Nasr city-Tunnel"",""NCT-UTL-1140"",""Underground Drainage Network"",""May-26"",""17250000.00"",""18630000.00"",""17250000.00"",""17250000.00"",""0.93"",""1.00"",""-1380000.00"",""0.00""]"
2026-08-15.lossless-project-input-bundle.v1,data/evm.csv,01-data/import_templates/evm.csv,data,16,"[""Nasr city-Tunnel"",""NCT-STR-1150"",""Ground Floor Structural Frame"",""May-26"",""17625000.00"",""16209281.67"",""15737166.67"",""17625000.00"",""0.97"",""0.89"",""-472115.00"",""-1887833.33""]"
2026-08-15.lossless-project-input-bundle.v1,data/evm.csv,01-data/import_templates/evm.csv,data,17,"[""Nasr city-Tunnel"",""NCT-MS-1160"",""Substructure Completion"",""May-26"",""18750000.00"",""18198750.00"",""17250000.00"",""18750000.00"",""0.95"",""0.92"",""-948750.00"",""-1500000.00""]"
