bundle_version,source_scope,source_file,row_kind,row_order,payload_json
2026-08-15.lossless-project-input-bundle.v1,data/wbs.csv,01-data/import_templates/wbs.csv,schema,0,"{""headers"":[""project_id"",""wbs_code"",""wbs_name"",""total_activities"",""bl_project_duration"",""remaining_duration"",""total_float"",""bl_project_start"",""bl_project_finish"",""actual_start"",""actual_finish"",""schedule_%_complete"",""performance_%_complete"",""budget_at_completion"",""earned_value_cost"",""planned_value_cost""],""source_sha256"":""160fd582900eacb46b70d42b0b9cf582b57408c101c03368a6cbf38ef91a653e""}"
2026-08-15.lossless-project-input-bundle.v1,data/wbs.csv,01-data/import_templates/wbs.csv,data,1,"[""Sophia-Mall-P.01-UP-20-April-26"",""No Priority"","""",""1064"",""543"",""376"",""0"",""25-Aug-25"",""18-Feb-27"",""28-Aug-25"","""",""0.623"",""0.354"",""382400000"",""135369600"",""238235200""]"
2026-08-15.lossless-project-input-bundle.v1,data/wbs.csv,01-data/import_templates/wbs.csv,data,2,"[""Sophia-Mall-P.01-UP-20-April-26"",""Sophia-Mall - P.01 - UP-20-April-26"",""SOPHIA MALL MIXED-USE DEVELOPMENT"",""1064"",""543"",""376"",""-38"",""25-Aug-25"",""18-Feb-27"",""28-Aug-25"","""",""0.623"",""0.354"",""382400000"",""135369600"",""238235200""]"
2026-08-15.lossless-project-input-bundle.v1,data/wbs.csv,01-data/import_templates/wbs.csv,data,3,"[""Sophia-Mall-P.01-UP-20-April-26"",""Sophia-Mall - P.01 - UP-20-April-26.KD"",""Key Dates"",""8"",""543"",""376"",""-38"",""25-Aug-25"",""18-Feb-27"",""28-Aug-25"","""",""0"",""0"",""0"",""0"",""0""]"
2026-08-15.lossless-project-input-bundle.v1,data/wbs.csv,01-data/import_templates/wbs.csv,data,4,"[""Sophia-Mall-P.01-UP-20-April-26"",""Sophia-Mall - P.01 - UP-20-April-26.KD.MI"",""Milestone"",""5"",""543"",""376"",""-38"",""25-Aug-25"",""18-Feb-27"",""28-Aug-25"","""",""0"",""0"",""0"",""0"",""0""]"
2026-08-15.lossless-project-input-bundle.v1,data/wbs.csv,01-data/import_templates/wbs.csv,data,5,"[""Sophia-Mall-P.01-UP-20-April-26"",""Sophia-Mall - P.01 - UP-20-April-26.KD.MO"",""Mobilization"",""10"",""16"",""0"","""",""25-Aug-25"",""10-Sep-25"",""29-Aug-25"",""15-Sep-25"",""0"",""0"",""0"",""0"",""0""]"
2026-08-15.lossless-project-input-bundle.v1,data/wbs.csv,01-data/import_templates/wbs.csv,data,6,"[""Sophia-Mall-P.01-UP-20-April-26"",""Sophia-Mall - P.01 - UP-20-April-26.EN"",""Engineering"",""241"",""248"",""32"",""144"",""25-Aug-25"",""30-Apr-26"",""28-Aug-25"","""",""0"",""0"",""0"",""0"",""0""]"
2026-08-15.lossless-project-input-bundle.v1,data/wbs.csv,01-data/import_templates/wbs.csv,data,7,"[""Sophia-Mall-P.01-UP-20-April-26"",""Sophia-Mall - P.01 - UP-20-April-26.P"",""Procurement"",""86"",""440"",""212"",""88"",""25-Aug-25"",""8-Nov-26"",""28-Aug-25"","""",""0"",""0"",""0"",""0"",""0""]"
2026-08-15.lossless-project-input-bundle.v1,data/wbs.csv,01-data/import_templates/wbs.csv,data,8,"[""Sophia-Mall-P.01-UP-20-April-26"",""Sophia-Mall - P.01 - UP-20-April-26.CON"",""Construction"",""552"",""492"",""348"",""-26"",""29-Sep-25"",""10-Dec-26"",""28-Aug-25"","""",""0.623"",""0.354"",""382400000"",""135369600"",""238235200""]"
2026-08-15.lossless-project-input-bundle.v1,data/wbs.csv,01-data/import_templates/wbs.csv,data,9,"[""Sophia-Mall-P.01-UP-20-April-26"",""Sophia-Mall - P.01 - UP-20-April-26.CON.EW"",""Earth Works"",""31"",""62"",""0"","""",""24-Sep-25"",""25-Nov-25"",""22-Sep-25"",""11-Nov-25"",""1"",""1"",""21850000"",""21850000"",""21850000""]"
2026-08-15.lossless-project-input-bundle.v1,data/wbs.csv,01-data/import_templates/wbs.csv,data,10,"[""Sophia-Mall-P.01-UP-20-April-26"",""Sophia-Mall - P.01 - UP-20-April-26.CON.B1"",""Basement & Substructure"",""122"",""310"",""188"",""-45"",""14-Oct-25"",""20-Aug-26"",""28-Aug-25"","""",""0.68"",""0.41"",""97300000"",""39893000"",""66164000""]"
2026-08-15.lossless-project-input-bundle.v1,data/wbs.csv,01-data/import_templates/wbs.csv,data,11,"[""Sophia-Mall-P.01-UP-20-April-26"",""Sophia-Mall - P.01 - UP-20-April-26.CON.PD"",""Podium Structure"",""115"",""362"",""276"",""-54"",""3-Dec-25"",""30-Nov-26"",""28-Aug-25"","""",""0.59"",""0.33"",""83450000"",""27538500"",""49235500""]"
2026-08-15.lossless-project-input-bundle.v1,data/wbs.csv,01-data/import_templates/wbs.csv,data,12,"[""Sophia-Mall-P.01-UP-20-April-26"",""Sophia-Mall - P.01 - UP-20-April-26.CON.TR"",""Retail Floors"",""124"",""390"",""302"",""-39"",""14-Jan-26"",""8-Feb-27"",""28-Aug-25"","""",""0.55"",""0.3"",""91600000"",""27480000"",""50380000""]"
2026-08-15.lossless-project-input-bundle.v1,data/wbs.csv,01-data/import_templates/wbs.csv,data,13,"[""Sophia-Mall-P.01-UP-20-April-26"",""Sophia-Mall - P.01 - UP-20-April-26.CON.FA"",""Facade & Skylight"",""64"",""314"",""258"",""24"",""1-Mar-26"",""9-Jan-27"",""28-Aug-25"","""",""0.36"",""0.18"",""47850000"",""8613000"",""17226000""]"
2026-08-15.lossless-project-input-bundle.v1,data/wbs.csv,01-data/import_templates/wbs.csv,data,14,"[""Sophia-Mall-P.01-UP-20-April-26"",""Sophia-Mall - P.01 - UP-20-April-26.CON.MEP"",""MEP & Life Safety Systems"",""67"",""360"",""318"",""16"",""12-Apr-26"",""7-Apr-27"",""28-Aug-25"","""",""0.28"",""0.14"",""52400000"",""7336000"",""14672000""]"
2026-08-15.lossless-project-input-bundle.v1,data/wbs.csv,01-data/import_templates/wbs.csv,data,15,"[""Sophia-Mall-P.01-UP-20-April-26"",""Sophia-Mall - P.01 - UP-20-April-26.CON.FIN"",""Finishing & Tenant Interface"",""29"",""286"",""252"",""8"",""2-Apr-26"",""13-Jan-27"",""28-Aug-25"","""",""0.22"",""0.11"",""39950000"",""4394500"",""8789000""]"
2026-08-15.lossless-project-input-bundle.v1,data/wbs.csv,01-data/import_templates/wbs.csv,data,16,"[""Sophia-Mall-P.01-UP-20-April-26"",""Sophia-Mall - P.01 - UP-20-April-26.HO"",""Testing, Commissioning & Handover"",""128"",""505"",""376"",""-38"",""3-Nov-25"",""18-Feb-27"","""","""",""0"",""0"",""0"",""0"",""0""]"
2026-08-15.lossless-project-input-bundle.v1,tia/03_native_xer_pair_register.csv,02-delay_analysis/unified_tia_csv/03_native_xer_pair_register.csv,schema,0,"{""headers"":[""project_id"",""xer_pair_id"",""event_variant"",""baseline_source_id"",""impacted_source_id"",""data_date"",""baseline_schedule_name"",""impacted_update_name"",""baseline_project_finish"",""impacted_project_finish"",""parity_status"",""p6_operator"",""run_reference"",""notes""],""source_sha256"":""cc0614fd7bc5632138978328bada26d5663f51010fd6d48d34c68c31e1cfb483""}"
2026-08-15.lossless-project-input-bundle.v1,tia/05-relationship_file.csv,02-delay_analysis/unified_tia_csv/05-relationship_file.csv,schema,0,"{""headers"":[""project_id"",""Activity ID"",""Activity Name"",""Predecessors"",""Predecessor Details"",""Successors""],""source_sha256"":""4344d44803df04a51262afa4fee11a52954717fe4740be621de722fe044168cc""}"
2026-08-15.lossless-project-input-bundle.v1,tia/05-relationship_file.csv,02-delay_analysis/unified_tia_csv/05-relationship_file.csv,data,1,"[""Sophia-Mall-P.02-UP-26-Jun-26"",""CON-SM-NW-FORM-1040"",""Formwork readiness before North wing raft RFT (North-Wing)"",""E-APP-SM-NW-1020"",""E-APP-SM-NW-1020: FS 0"",""CON-SM-NW-RFT-1050""]"
2026-08-15.lossless-project-input-bundle.v1,tia/05-relationship_file.csv,02-delay_analysis/unified_tia_csv/05-relationship_file.csv,data,2,"[""Sophia-Mall-P.02-UP-26-Jun-26"",""CON-SM-NW-RFT-1050"",""RFT for North wing raft RFT (North-Wing)"",""CON-SM-NW-FORM-1040"",""CON-SM-NW-FORM-1040: FS 0"",""CON-SM-NW-CONC-1070""]"
